Molecule_ID,Raw_SMILES,Canonical_SMILES,Is_Valid,MW,LogP,HBD,HBA,QED,SA_Score,Lipinski_Violations,Lipinski_Compliant
MOL_00001,COc1cccc(CCC(=O)N2CCN(C(=O)c3ccc(Cl)cc3)CC2)c1,COc1cccc(CCC(=O)N2CCN(C(=O)c3ccc(Cl)cc3)CC2)c1,True,386.14,3.27,0.0,3.0,0.792,1.8,0.0,True
MOL_00002,CC(C)[C@@H](C)NC(=O)c1ccccc1NC(=O)C(=O)N1CCCC1,CC(C)[C@@H](C)NC(=O)c1ccccc1NC(=O)C(=O)N1CCCC1,True,331.19,2.02,2.0,3.0,0.8287,2.49,0.0,True
MOL_00003,CC(C)(C)OC(=O)N1CCC(C(=O)N2CCC[C@@H]2Cn2cccn2)CC1,CC(C)(C)OC(=O)N1CCC(C(=O)N2CCC[C@@H]2Cn2cccn2)CC1,True,362.23,2.52,0.0,4.0,0.8286,2.83,0.0,True
MOL_00004,CCC[NH+](C)C[C@H]1CCN(C(=O)Cn2c(=O)[nH]c3ccccc32)C1,CCC[NH+](C)C[C@H]1CCN(C(=O)Cn2c(=O)[nH]c3ccccc32)C1,True,331.21,0.1,2.0,2.0,0.7888,3.95,0.0,True
MOL_00005,O=C(COc1cccc(C=O)c1)NCc1ccc2c(c1)OCO2,O=Cc1cccc(OCC(=O)NCc2ccc3c(c2)OCO3)c1,True,313.1,1.92,1.0,5.0,0.8249,2.01,0.0,True
MOL_00006,COc1ccccc1OCC(=O)NCc1ccc(-n2cncn2)cc1,COc1ccccc1OCC(=O)NCc1ccc(-n2cncn2)cc1,True,338.14,1.97,1.0,5.0,0.7125,1.92,0.0,True
MOL_00007,CCCNC(=O)[C@H]1CCC[NH+](Cc2cccc(OC)c2OC)C1,CCCNC(=O)[C@H]1CCC[NH+](Cc2cccc(OC)c2OC)C1,True,321.22,1.02,2.0,3.0,0.7885,3.93,0.0,True
MOL_00008,Cc1ccc(NC(=O)CSc2nnc(-c3ccc(C)cc3)n2Cc2ccco2)cc1,Cc1ccc(NC(=O)CSc2nnc(-c3ccc(C)cc3)n2Cc2ccco2)cc1,True,418.15,4.93,1.0,5.0,0.4307,2.08,0.0,True
MOL_00009,CN1CCN(C(=O)CN(CCc2ccccc2)S(=O)(=O)c2ccc(F)cc2)CC1,CN1CCN(C(=O)CN(CCc2ccccc2)S(=O)(=O)c2ccc(F)cc2)CC1,True,419.17,1.83,0.0,4.0,0.6872,2.07,0.0,True
MOL_00010,CC(C)NC(=O)c1ccc(NC(=O)N2CCOC[C@@H]2C2CC2)cc1,CC(C)NC(=O)c1ccc(NC(=O)N2CCOC[C@@H]2C2CC2)cc1,True,331.19,2.47,2.0,3.0,0.8902,2.65,0.0,True
